"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"Per capita personal income (Dollars) 2/" 
"Bureau of Economic Analysis" 
"County"
"GeoFips","GeoName","2016","2017","2018"
"13001","Appling, GA",30860,32080,33268
"13003","Atkinson, GA",26599,28764,30511
"13005","Bacon, GA",31025,32775,33080
"13007","Baker, GA",36061,35725,38666
"13009","Baldwin, GA",30637,31950,33203
"13011","Banks, GA",32945,35226,36276
"13013","Barrow, GA",34232,35560,36898
"13015","Bartow, GA",36124,36844,38298
"13017","Ben Hill, GA",29201,29877,31436
"13019","Berrien, GA",28453,30179,31535
"13021","Bibb, GA",38687,39928,41709
"13023","Bleckley, GA",31002,32278,33672
"13025","Brantley, GA",26424,26353,27413
"13027","Brooks, GA",32586,33137,34944
"13029","Bryan, GA",49828,50022,52456
"13031","Bulloch, GA",30191,30825,32382
"13033","Burke, GA",33580,34394,35524
"13035","Butts, GA",31207,32818,34297
"13037","Calhoun, GA",22951,24763,24638
"13039","Camden, GA",33737,34832,36113
"13043","Candler, GA",27914,30023,31385
"13045","Carroll, GA",35682,36814,38571
"13047","Catoosa, GA",33115,34048,35158
"13049","Charlton, GA",23420,24489,24976
"13051","Chatham, GA",43299,45061,47563
"13053","Chattahoochee, GA",30210,30926,31115
"13055","Chattooga, GA",28538,29836,30946
"13057","Cherokee, GA",47813,49084,51137
"13059","Clarke, GA",31736,32419,33970
"13061","Clay, GA",29216,29492,31520
"13063","Clayton, GA",26702,27058,28020
"13065","Clinch, GA",35716,36580,37548
"13067","Cobb, GA",51457,54559,57162
"13069","Coffee, GA",29215,30988,32644
"13071","Colquitt, GA",30034,31859,32526
"13073","Columbia, GA",46821,47688,49473
"13075","Cook, GA",29733,31086,32524
"13077","Coweta, GA",43253,44612,46438
"13079","Crawford, GA",31990,33208,33784
"13081","Crisp, GA",29495,31206,32540
"13083","Dade, GA",32265,33720,35640
"13085","Dawson, GA",42386,43455,45201
"13087","Decatur, GA",33932,35252,36150
"13089","DeKalb, GA",45522,48557,50871
"13091","Dodge, GA",28389,29702,30682
"13093","Dooly, GA",26161,27631,28297
"13095","Dougherty, GA",33743,34354,34744
"13097","Douglas, GA",33168,33855,35230
"13099","Early, GA",37001,37889,38945
"13101","Echols, GA",25611,27281,27880
"13103","Effingham, GA",38513,40037,41942
"13105","Elbert, GA",33031,34508,35448
"13107","Emanuel, GA",30104,32066,32187
"13109","Evans, GA",33186,33877,35212
"13111","Fannin, GA",32567,34431,35727
"13113","Fayette, GA",58295,60677,63515
"13115","Floyd, GA",36054,37003,38524
"13117","Forsyth, GA",59451,60227,62580
"13119","Franklin, GA",34213,35508,36672
"13121","Fulton, GA",75987,80683,84386
"13123","Gilmer, GA",32724,34102,35419
"13125","Glascock, GA",33238,32814,33931
"13127","Glynn, GA",41914,43642,46073
"13129","Gordon, GA",32428,35514,36947
"13131","Grady, GA",31138,33524,34899
"13133","Greene, GA",50359,53496,55396
"13135","Gwinnett, GA",38629,39738,41458
"13137","Habersham, GA",31893,32780,33925
"13139","Hall, GA",39946,41856,43701
"13141","Hancock, GA",27046,28261,29917
"13143","Haralson, GA",33941,35121,36508
"13145","Harris, GA",44439,45538,47469
"13147","Hart, GA",34264,36219,38125
"13149","Heard, GA",29431,30076,31144
"13151","Henry, GA",36748,37619,39184
"13153","Houston, GA",39991,41105,42625
"13155","Irwin, GA",28698,30745,32824
"13157","Jackson, GA",39379,40832,42211
"13159","Jasper, GA",35403,39111,40606
"13161","Jeff Davis, GA",28567,28671,29943
"13163","Jefferson, GA",31409,32925,34034
"13165","Jenkins, GA",28179,28005,29250
"13167","Johnson, GA",24388,24822,26195
"13169","Jones, GA",34947,36159,37618
