County,State,2016,2017,2018
Acadia, LA,34236,35481,37304
Allen, LA,30513,31754,33381
Ascension, LA,46685,47798,49829
Assumption, LA,40358,43897,46788
Avoyelles, LA,35099,36529,37911
Beauregard, LA,39451,41126,42782
Bienville, LA,33422,35759,38493
Bossier, LA,41722,41876,44149
Caddo, LA,44851,45384,48413
Calcasieu, LA,44604,46162,48968
Caldwell, LA,31621,32616,33950
Cameron, LA,43152,47476,50280
Catahoula, LA,31982,33413,33655
Claiborne, LA,32376,33643,35240
Concordia, LA,30098,31599,32942
De Soto, LA,37155,38585,40584
East Baton Rouge, LA,47689,48855,51386
East Carroll, LA,34313,36315,36010
East Feliciana, LA,39815,40843,42771
Evangeline, LA,31600,32634,33671
Franklin, LA,30010,31196,31928
Grant, LA,30778,30862,31828
Iberia, LA,36278,37119,39270
Iberville, LA,37808,39569,41423
Jackson, LA,31762,32933,34116
Jefferson, LA,47629,48520,51005
Jefferson Davis, LA,38091,39905,42334
Lafayette, LA,45411,47467,50273
Lafourche, LA,43008,44136,47096
LaSalle, LA,29531,30283,32413
Lincoln, LA,37007,38492,40410
Livingston, LA,37428,39068,40658
Madison, LA,31480,31210,32437
Morehouse, LA,37453,37648,38495
Natchitoches, LA,36008,37985,39860
Orleans, LA,48148,49436,52004
Ouachita, LA,38535,39135,41053
Plaquemines, LA,47055,47225,49376
Pointe Coupee, LA,41105,42976,44366
Rapides, LA,43396,44128,46090
Red River, LA,34926,38966,42201
Richland, LA,35630,35988,37330
Sabine, LA,31544,33001,34558
St. Bernard, LA,30406,30974,32130
St. Charles, LA,46139,47247,49353
St. Helena, LA,40490,39875,41592
St. James, LA,43065,46155,48484
St. John the Baptist, LA,38078,38830,40573
St. Landry, LA,38789,39179,41191
St. Martin, LA,35923,35705,37645
St. Mary, LA,36485,37142,39280
St. Tammany, LA,55434,58848,62366
Tangipahoa, LA,36690,37474,38974
Tensas, LA,34363,36060,36630
Terrebonne, LA,39210,39379,41504
Union, LA,35754,37117,38794
Vermilion, LA,36304,36943,39042
Vernon, LA,37530,38756,40729
Washington, LA,31647,32210,33480
Webster, LA,36733,38000,40175
West Baton Rouge, LA,44986,45169,46976
West Carroll, LA,33516,34625,36633
West Feliciana, LA,36414,37266,38655
Winn, LA,33688,35068,36698
