County,2016,2017,2018
"Adams, MS",32098,32428,33880
"Alcorn, MS",33076,34364,36003
"Amite, MS",30465,32432,33460
"Attala, MS",32156,32603,33809
"Benton, MS",28097,29198,30285
"Bolivar, MS",35451,36104,38213
"Calhoun, MS",31045,32079,33043
"Carroll, MS",34877,36056,37615
"Chickasaw, MS",31620,33663,34805
"Choctaw, MS",31526,31949,33646
"Claiborne, MS",29275,30364,31494
"Clarke, MS",34660,35268,36431
"Clay, MS",35872,37625,39191
"Coahoma, MS",33335,32818,33915
"Copiah, MS",31247,32250,33203
"Covington, MS",31064,34699,35748
"DeSoto, MS",38168,39022,40702
"Forrest, MS",36793,37202,38880
"Franklin, MS",33037,33236,33970
"George, MS",31432,31697,32529
"Greene, MS",27960,27973,28716
"Grenada, MS",33859,34458,35632
"Hancock, MS",33577,33998,35262
"Harrison, MS",35877,36087,37303
"Hinds, MS",37817,37633,39311
"Holmes, MS",27619,27367,28371
"Humphreys, MS",28869,29932,31864
"Issaquena, MS",18428,10996,18541
"Itawamba, MS",32441,33582,34734
"Jackson, MS",35715,36297,37499
"Jasper, MS",33417,36001,37281
"Jefferson, MS",30998,31910,33098
"Jefferson Davis, MS",27618,29568,30097
"Jones, MS",35687,36933,38122
"Kemper, MS",28470,28571,29287
"Lafayette, MS",39338,40377,42110
"Lamar, MS",38065,38885,40529
"Lauderdale, MS",36593,36534,37959
"Lawrence, MS",30830,33170,34616
"Leake, MS",27422,30286,31436
"Lee, MS",38811,40345,41934
"Leflore, MS",33601,34769,36399
"Lincoln, MS",36208,37484,38682
"Lowndes, MS",35885,36657,38498
"Madison, MS",60238,61566,64033
"Marion, MS",29710,32880,34526
"Marshall, MS",30405,31072,32341
"Monroe, MS",32293,33180,34664
"Montgomery, MS",32095,32883,34180
"Neshoba, MS",33388,35409,36604
"Newton, MS",32319,33778,34645
"Noxubee, MS",30451,31581,32805
"Oktibbeha, MS",32257,32748,34367
"Panola, MS",31052,31684,32496
"Pearl River, MS",34446,34803,36230
"Perry, MS",29976,30674,31934
"Pike, MS",29716,29966,31048
"Pontotoc, MS",31118,31956,32996
"Prentiss, MS",29116,29794,30743
"Quitman, MS",26856,25162,27088
"Rankin, MS",42738,43135,44661
"Scott, MS",28569,30866,32095
"Sharkey, MS",28708,30238,32070
"Simpson, MS",33533,35865,37036
"Smith, MS",31276,34495,35791
"Stone, MS",30429,30560,31516
"Sunflower, MS",28422,28926,30859
"Tallahatchie, MS",27223,27157,27757
"Tate, MS",33575,33572,35182
"Tippah, MS",31530,32614,33919
"Tishomingo, MS",31468,31711,33559
"Tunica, MS",33576,31035,32425
"Union, MS",30762,31432,32242
"Walthall, MS",29402,31271,31757
"Warren, MS",37437,37983,39580
"Washington, MS",34904,35916,37568
"Wayne, MS",30940,33261,34775
"Webster, MS",36421,36973,38464
"Wilkinson, MS",27539,28516,29413
"Winston, MS",32377,34214,35742
"Yalobusha, MS",34366,35020,36729
"Yazoo, MS",26840,26303,27275
