County,State,2016,2017,2018
Alamance, NC,37317,38141,39342
Alexander, NC,34082,36178,37438
Alleghany, NC,36440,36949,37549
Anson, NC,31577,33531,34616
Ashe, NC,34325,35368,36300
Avery, NC,33428,34942,36574
Beaufort, NC,39151,40279,41643
Bertie, NC,32116,33839,34766
Bladen, NC,32273,33917,34306
Brunswick, NC,40295,41619,42749
Buncombe, NC,44412,46143,48592
Burke, NC,32359,33747,35265
Cabarrus, NC,42529,43546,45220
Caldwell, NC,32272,33792,35374
Camden, NC,43184,43656,45335
Carteret, NC,46800,47248,49360
Caswell, NC,33394,34566,35591
Catawba, NC,41748,43318,45342
Chatham, NC,58600,59921,63041
Cherokee, NC,30122,31101,32266
Chowan, NC,36798,38904,40817
Clay, NC,32085,32611,34057
Cleveland, NC,34710,36182,37661
Columbus, NC,30496,31351,32397
Craven, NC,41563,41831,43665
Cumberland, NC,35954,36990,38780
Currituck, NC,43103,43885,45435
Dare, NC,51698,53834,56314
Davidson, NC,36441,37867,39087
Davie, NC,44022,45965,47630
Duplin, NC,31797,33900,33619
Durham, NC,46255,48051,50698
Edgecombe, NC,32303,33327,34946
Forsyth, NC,45168,47062,48804
Franklin, NC,33301,34674,36238
Gaston, NC,38177,39795,41379
Gates, NC,33796,35418,36060
Graham, NC,29465,31517,33075
Granville, NC,35773,36852,38652
Greene, NC,30308,32493,32569
Guilford, NC,43059,44268,45875
Halifax, NC,33547,34615,36013
Harnett, NC,32019,33064,34604
Haywood, NC,37580,38634,40290
Henderson, NC,39915,41286,43276
Hertford, NC,30334,31830,32702
Hoke, NC,29080,29898,31148
Hyde, NC,39118,42039,43490
Iredell, NC,47134,48027,50065
Jackson, NC,30813,31851,32844
Johnston, NC,37337,38249,39922
Jones, NC,37640,38420,38536
Lee, NC,37411,38287,40098
Lenoir, NC,37291,39268,40922
Lincoln, NC,42010,43920,45791
McDowell, NC,31212,32721,34077
Macon, NC,37263,38762,40057
Madison, NC,31394,32655,34036
Martin, NC,32623,33727,34647
Mecklenburg, NC,55276,58539,61137
Mitchell, NC,33146,34699,35932
Montgomery, NC,32100,33760,35611
Moore, NC,48201,49257,51307
Nash, NC,39075,40255,42016
New Hanover, NC,42769,43722,45290
Northampton, NC,31164,33064,34185
Onslow, NC,45907,44836,46142
Orange, NC,60044,63460,67385
Pamlico, NC,39184,41610,43532
Pasquotank, NC,37108,38091,39417
Pender, NC,34829,35296,35914
Perquimans, NC,38002,39533,40781
Person, NC,35211,36510,38202
Pitt, NC,38611,39873,41191
Polk, NC,42166,43202,45291
Randolph, NC,34709,35910,37017
Richmond, NC,33247,34272,35148
Robeson, NC,27604,28270,29438
Rockingham, NC,34679,35862,37137
Rowan, NC,35489,36576,38089
Rutherford, NC,30524,31351,32764
Sampson, NC,34623,36130,35900
Scotland, NC,30370,31732,33229
Stanly, NC,36037,37703,39047
Stokes, NC,34130,35623,36850
Surry, NC,36283,37284,38522
Swain, NC,35771,37192,38429
Transylvania, NC,38964,40066,42070
Tyrrell, NC,30271,29728,30000
Union, NC,47809,49251,51326
Vance, NC,32991,33671,35105
Wake, NC,54584,55860,59014
Warren, NC,28793,29360,30397
Washington, NC,33743,34757,36073
Watauga, NC,34244,35384,36684
Wayne, NC,35607,37309,38472
Wilkes, NC,34008,35681,36576
Wilson, NC,37933,38746,40501
Yadkin, NC,34630,36046,37027
Yancey, NC,33002,34410,36715
