County,2016,2017,2018
"Abbeville, SC",31893,32937,34108
"Aiken, SC",39387,40893,42511
"Allendale, SC",29642,31593,33237
"Anderson, SC",37066,38391,39710
"Bamberg, SC",31047,31915,32858
"Barnwell, SC",31489,32117,33363
"Beaufort, SC",52147,53766,56711
"Berkeley, SC",36813,38885,40415
"Calhoun, SC",35244,37199,38451
"Charleston, SC",55573,58588,61477
"Cherokee, SC",30534,31686,33197
"Chester, SC",31277,32650,34014
"Chesterfield, SC",28336,29480,31012
"Clarendon, SC",30846,31979,33197
"Colleton, SC",33068,34184,35697
"Darlington, SC",34273,35965,37475
"Dillon, SC",26281,27035,27718
"Dorchester, SC",36085,37282,38892
"Edgefield, SC",33600,35426,36436
"Fairfield, SC",34877,35558,36758
"Florence, SC",38998,39941,41833
"Georgetown, SC",42897,45167,47071
"Greenville, SC",44869,46922,48644
"Greenwood, SC",34774,36067,37424
"Hampton, SC",29866,31054,32473
"Horry, SC",35095,35971,37091
"Jasper, SC",27345,27920,29242
"Kershaw, SC",38575,40130,41227
"Lancaster, SC",43592,47281,49127
"Laurens, SC",32175,33422,34622
"Lee, SC",30186,31553,32708
"Lexington, SC",43666,45533,46513
"McCormick, SC",33977,36014,38513
"Marion, SC",28828,30135,31492
"Marlboro, SC",28848,29857,31562
"Newberry, SC",35946,36802,37793
"Oconee, SC",39806,41722,43312
"Orangeburg, SC",31632,32849,33818
"Pickens, SC",35645,36973,38344
"Richland, SC",42473,44250,45529
"Saluda, SC",32473,33625,34455
"Spartanburg, SC",40785,41783,43148
"Sumter, SC",35764,36978,38603
"Union, SC",30339,31618,32745
"Williamsburg, SC",30013,31437,32726
"York, SC",43080,44804,46667
