,City,County,District Name,Number of High Schools,Number of Middle Schools,Number of Alternative Schools,Number of Primary Schools,Number of Total Schools,State,Rank,RankOf,RankStatewidePercentage,Year,Zip Code
0,Baxley,Appling,Appling County,1,1,0,4,6,GA,88,196,55.1,2019,31513
1,Pearson,Atkinson,Atkinson County,1,1,0,2,4,GA,75,196,61.73,2019,31642
2,Atlanta,Fulton,Atlanta Public Schools,16,15,2,56,89,GA,136,196,30.61,2019,30335
3,Alma,Bacon,Bacon County,1,1,0,2,4,GA,85,196,56.63,2019,31510
4,Newton,Baker,Baker County,0,0,1,0,1,GA,,,,,31770
5,Milledgeville,Baldwin,Baldwin County,1,1,0,4,6,GA,186,196,5.1,2019,31061
6,Homer,Banks,Banks County,1,1,0,2,4,GA,40,196,79.59,2019,30547
7,Winder,Barrow,Barrow County,2,4,0,9,15,GA,61,196,68.88,2019,30680
8,Cartersville,Bartow,Bartow County,3,4,0,12,19,GA,83,196,57.65,2019,30120
9,Fitzgerald,Ben Hill,Ben Hill County,1,1,0,2,4,GA,176,196,10.2,2019,31750
10,Nashville,Berrien,Berrien County,2,1,0,2,5,GA,41,196,79.08,2019,31639
11,Macon,Bibb,Bibb County,6,7,1,22,36,GA,162,196,17.35,2019,31201
12,Cochran,Bleckley,Bleckley County,2,1,0,2,5,GA,16,196,91.84,2019,31014
13,Nahunta,Brantley,Brantley County,1,3,0,3,7,GA,29,187,84.49,2018,31553
14,Bremen,Haralson,Bremen City,1,1,0,2,4,GA,3,196,98.47,2019,30110
15,Quitman,Brooks,Brooks County,2,1,0,3,6,GA,178,196,9.18,2019,31643
16,Pembroke,Bryan,Bryan County,2,2,0,6,10,GA,48,196,75.51,2019,31321
17,Buford,Gwinnett,Buford City,1,1,0,2,4,GA,2,196,98.98,2019,30518
18,Statesboro,Bulloch,Bulloch County,3,3,0,9,15,GA,79,196,59.69,2019,30458
19,Waynesboro,Burke,Burke County,1,1,0,3,5,GA,157,196,19.9,2019,30830
20,Jackson,Butts,Butts County,1,1,0,3,5,GA,144,196,26.53,2019,30233
21,Calhoun,Gordon,Calhoun City,1,1,0,1,3,GA,96,196,51.02,2019,30701
22,Morgan,Calhoun,Calhoun County,1,1,0,1,3,GA,190,196,3.06,2019,39866
23,Kingsland,Camden,Camden County,1,2,0,9,12,GA,13,196,93.37,2019,31548
24,Metter,Candler,Candler County,1,1,0,1,3,GA,120,196,38.78,2019,30439
25,Carrollton,Carroll,Carroll County,6,6,0,12,24,GA,35,196,82.14,2019,30116
26,Carrollton,Carroll,Carrollton City,1,2,0,1,4,GA,63,196,67.86,2019,30117
27,Cartersville,Bartow,Cartersville City,1,1,0,2,4,GA,33,196,83.16,2019,30120
28,Ringgold,Catoosa,Catoosa County,3,3,0,10,16,GA,54,196,72.45,2019,30736
29,Folkston,Charlton,Charlton County,1,1,0,2,4,GA,86,196,56.12,2019,31537
30,Cusseta,Chattahoochee,Chattahoochee County,1,1,0,1,3,GA,82,196,58.16,2019,31805
31,Summerville,Chattooga,Chattooga County,1,1,1,3,6,GA,112,196,42.86,2019,30747
32,Canton,Cherokee,Cherokee County,6,7,0,23,36,GA,23,196,88.27,2019,30114
33,Chickamauga,Walker,Chickamauga City,1,1,0,1,3,GA,9,196,95.41,2019,30707
34,Decatur,DeKalb,City Schools of Decatur,1,1,0,6,8,GA,,,,,30030
35,Athens,Clarke,Clarke County,3,4,0,14,21,GA,146,196,25.51,2019,30606
36,Fort Gaines,Clay,Clay County,0,1,0,1,2,GA,189,196,3.57,2019,31751
37,Jonesboro,Clayton,Clayton County,12,15,0,38,65,GA,168,196,14.29,2019,30236
38,Homerville,Clinch,Clinch County,1,1,0,1,3,GA,154,196,21.43,2019,31634
39,Lenox,Cook,Coastal Plains Regional Educational Service Agency,0,0,0,0,0,GA,,,,,31637
40,Marietta,Cobb,Cobb County,17,26,0,68,111,GA,44,196,77.55,2019,30061
41,Douglas,Coffee,Coffee County,2,1,1,8,12,GA,90,196,54.08,2019,31533
42,Moultrie,Colquitt,Colquitt County,2,1,1,10,14,GA,151,196,22.96,2019,31768
43,Evans,Columbia,Columbia County,5,8,0,18,31,GA,22,196,88.78,2019,30809
44,Commerce,Jackson,Commerce City,1,1,0,2,4,GA,20,196,89.8,2019,30529
45,Atlanta,Fulton,Commission Charter Schools- Atlanta Heights Charter School,0,0,0,1,1,GA,188,196,4.08,2019,30331
46,Norcross,Gwinnett,Commission Charter Schools- Brookhaven Innovation Academy,0,0,0,1,1,GA,42,196,78.57,2019,30071
47,Statesboro,Bulloch,Commission Charter Schools- CCAT School,1,0,0,0,1,GA,60,196,69.39,2019,30458
48,Macon,Bibb,Commission Charter Schools- Cirrus Charter Academy,0,0,0,1,1,GA,195,196,0.51,2019,31204
49,Senoia,Coweta,Commission Charter Schools- Coweta Charter Academy,0,0,0,1,1,GA,12,196,93.88,2019,30276
50,Mobile,Mobile,Acceleration Day and Evening Academy,1,0,0,0,1,AL,123,130,5.38,2019,36606
51,Birmingham,Jefferson,Alabama Clinical Schools,0,0,0,0,0,AL,,,,,35210
52,Talladega,Talladega,Alabama Inst Deaf And Blind,1,0,3,0,4,AL,,,,,35160
53,Alabaster,Shelby,Alabaster City,1,2,0,3,6,AL,15,130,88.46,2019,35007
54,Albertville,Marshall,Albertville City,1,2,0,3,6,AL,58,130,55.38,2019,35950
55,Alexander City,Tallapoosa,Alexander City,1,2,0,2,5,AL,66,130,49.23,2019,35010
56,Andalusia,Covington,Andalusia City,1,1,0,1,3,AL,34,130,73.85,2019,36421
57,Anniston,Calhoun,Anniston City,2,1,0,4,7,AL,115,130,11.54,2019,36206
58,Arab,Marshall,Arab City,1,1,0,2,4,AL,5,130,96.15,2019,35016
59,Athens,Limestone,Athens City,1,1,2,5,9,AL,27,129,79.07,2018,35611
60,Attalla,Etowah,Attalla City,1,1,0,1,3,AL,79,130,39.23,2019,35954
61,Auburn,Lee,Auburn City,1,2,1,9,13,AL,7,130,94.62,2019,36830
62,Prattville,Autauga,Autauga County,4,3,3,5,15,AL,51,130,60.77,2019,36067
63,Bay Minette,Baldwin,Baldwin County,10,10,1,23,44,AL,23,130,82.31,2019,36507
64,Clayton,Barbour,Barbour County,1,0,0,2,3,AL,130,130,0.0,2019,36016
65,Mobile,Mobile,BayPointe Residential Services,0,0,0,0,0,AL,,,,,36693
66,Bessemer,Jefferson,Bessemer City,3,1,0,5,9,AL,120,130,7.69,2019,35020
67,Centreville,Bibb,Bibb County,3,2,0,4,9,AL,86,130,33.85,2019,35042
68,Birmingham,Jefferson,Birmingham City,11,9,1,31,52,AL,117,130,10.0,2019,35203
69,Oneonta,Blount,Blount County,6,1,4,6,17,AL,55,130,57.69,2019,35121
70,Boaz,Marshall,Boaz City,1,1,0,3,5,AL,84,130,35.38,2019,35957
71,Green Pond,Bibb,Boyd School,0,0,0,0,0,AL,,,,,35074
72,Montgomery,Montgomery,Brantwood Childrens Home,0,0,0,0,0,AL,,,,,36104
73,Tuscaloosa,Tuscaloosa,BrewerPorch Childrens Center,0,0,0,0,0,AL,,,,,35404
74,Brewton,Escambia,Brewton City,1,1,0,1,3,AL,13,130,90.0,2019,36426
75,Tuscaloosa,Tuscaloosa,Bryce Adolescent School,1,0,0,0,1,AL,,,,,35401
76,Union Springs,Bullock,Bullock County,2,1,0,1,4,AL,125,130,3.85,2019,36089
77,Greenville,Butler,Butler County,2,1,2,2,7,AL,109,130,16.15,2019,36037
78,Anniston,Calhoun,Calhoun County,8,3,1,7,19,AL,46,130,64.62,2019,36206
79,Lafayette,Chambers,Chambers County,3,2,0,6,11,AL,101,130,22.31,2019,36862
80,Centre,Cherokee,Cherokee County,2,1,4,1,8,AL,71,130,45.38,2019,35960
81,Chickasaw,Mobile,Chickasaw City,1,1,0,1,3,AL,124,130,4.62,2019,36611
82,Clanton,Chilton,Chilton County,4,3,4,3,14,AL,100,130,23.08,2019,35045
83,Butler,Choctaw,Choctaw County,2,0,0,2,4,AL,116,130,10.77,2019,36904
