County,State,2016,2017,2018
Anderson, TN,39659,40106,41853
Bedford, TN,35087,35799,37266
Benton, TN,31567,32715,33661
Bledsoe, TN,24290,25154,26281
Blount, TN,39912,41190,42991
Bradley, TN,37423,37766,39099
Campbell, TN,31847,32569,33967
Cannon, TN,34023,34664,36113
Carroll, TN,34125,34777,35900
Carter, TN,32095,33088,34579
Cheatham, TN,40779,41769,43932
Chester, TN,31868,32532,33642
Claiborne, TN,33140,33910,35384
Clay, TN,28819,30471,31013
Cocke, TN,30282,30637,31942
Coffee, TN,36771,37323,38656
Crockett, TN,34677,34675,36560
Cumberland, TN,34810,35518,36613
Davidson, TN,59135,62876,66060
Decatur, TN,41029,40812,42639
DeKalb, TN,37704,38125,40132
Dickson, TN,37579,38766,40556
Dyer, TN,37851,38310,40642
Fayette, TN,51961,52993,55364
Fentress, TN,30366,31029,32232
Franklin, TN,36021,37289,38880
Gibson, TN,36422,37414,38654
Giles, TN,36794,37842,38766
Grainger, TN,30848,31892,33490
Greene, TN,37665,38618,39971
Grundy, TN,29391,29839,31011
Hamblen, TN,35089,35134,36636
Hamilton, TN,48244,49813,51743
Hancock, TN,25563,25777,27042
Hardeman, TN,27863,28288,29430
Hardin, TN,36679,37778,39387
Hawkins, TN,32181,32806,34188
Haywood, TN,30605,30348,32023
Henderson, TN,33321,34542,35748
Henry, TN,39405,40561,41989
Hickman, TN,30049,31401,32780
Houston, TN,30813,32184,32822
Humphreys, TN,36774,38135,38665
Jackson, TN,29190,29939,31189
Jefferson, TN,33160,34289,35866
Johnson, TN,30327,31510,32249
Knox, TN,46360,47574,49738
Lake, TN,22300,22576,23230
Lauderdale, TN,28313,27910,29187
Lawrence, TN,32504,33873,35252
Lewis, TN,32167,32996,34432
Lincoln, TN,38803,39511,41388
Loudon, TN,44707,46340,48491
McMinn, TN,33722,34645,35897
McNairy, TN,31044,31310,32573
Macon, TN,31629,32787,33297
Madison, TN,39965,40781,42720
Marion, TN,35950,36950,38450
Marshall, TN,35587,36075,37550
Maury, TN,39918,40901,42696
Meigs, TN,31637,32771,33526
Monroe, TN,31572,31971,33338
Montgomery, TN,39791,40461,41031
Moore, TN,38696,39731,41276
Morgan, TN,27538,28339,29380
Obion, TN,37747,39042,40666
Overton, TN,31101,32381,33701
Perry, TN,32410,33301,34268
Pickett, TN,36616,38598,39686
Polk, TN,31954,32647,33772
Putnam, TN,37338,38079,39509
Rhea, TN,32753,32842,34147
Roane, TN,38229,39241,40980
Robertson, TN,38995,40211,42104
Rutherford, TN,38634,39262,41031
Scott, TN,27627,28106,29758
Sequatchie, TN,35317,36474,38003
Sevier, TN,36909,37910,39474
Shelby, TN,46015,47338,49465
Smith, TN,35104,36263,37742
Stewart, TN,38751,39111,39853
Sullivan, TN,39870,40810,42606
Sumner, TN,45083,46465,48656
Tipton, TN,36399,37085,38547
Trousdale, TN,29789,28849,30090
Unicoi, TN,35358,35836,37423
Union, TN,29862,30516,31693
Van Buren, TN,30102,30207,30770
Warren, TN,32823,33253,33970
Washington, TN,40412,41539,43299
Wayne, TN,26167,27448,28962
Weakley, TN,34868,36146,37316
White, TN,31151,31628,32477
Williamson, TN,92654,91001,94872
Wilson, TN,45494,46989,49092
